id,days_since_release,days_until_pop,days_from_pop_to_top,days_from_top_until_leave
5OOkp4U9P9oL23maHFHL1h,1356,189,2,43
78rIJddV4X0HkNAInEcYde,1246,79,15,120
6bLopGnirdrilrpdVB6Um1,1239,72,1,14
7gHs73wELdeycvS48JfIos,1561,394,1,150
2bKuHYkbEpKgNNVQ0eGJlB,1470,303,14,14
0HEZXwSywflxeQcysigawO,1295,128,20,42
1DdnD06naRACOpK8lAnLp1,1470,303,0,20
0YAgtA9FguNwDokj8KE1jy,1213,46,0,105
1Tt4sE4pXi57mTD1GCzsqm,1506,339,3,57
1VapsxlgG0g2D80LeEXBqE,1470,303,0,7
3hIFGEywPETgcaxrTTt2lD,1254,87,1,57
0L7loeTIg6akW84aEQZpCT,1747,580,1,17
5j0tH4MzB4QyJLX8Ys9ofG,1254,87,55,113
3GjF8PNprVtiBtQnSgcHFU,1403,236,1,76
0K1oCudr2sTfkuNaFL1Dyo,1527,360,0,0
3RiPr603aXAoi4GHyXx0uy,1561,394,1,311
1Yxg9XzWUCKFX0ynQAzw2d,1330,163,0,0
2wmY09fsvmYgA7bKZzjAVt,1470,303,0,14
6DIEJZVrtviD5hFDW7O3J8,1204,37,0,0
4RuvPSCJ7xvRVOxiFBUt9B,1253,86,0,27
4dTTbJMf8kO1QIWlZMCVj2,1330,163,105,144
5WXIBx21pd7zJscPGd8ZaT,1470,303,0,0
6BPt2sVRvE41rUixcCAHY6,1057,-110,358,189
6YZdkObH88npeKrrkb8Ggf,1425,258,1,122
3E9s5Feisg3xmzzAHdq4aa,1218,51,54,104
2uHlo1X8F1yPavYpqv65if,1197,30,6,15
2eAAEa8pxKF7My0EO4rFgR,1015,-152,4,321
0sSF2viFap4zeXfxUXXt6i,1568,401,0,0
5ou59ERA2f7ffyAxAcZyVz,1239,72,3,43
6rQSrBHf7HlZjtcMZ4S4bO,1358,191,4,21
5NH1hgZbrQGXMMZKcBQV3l,1170,3,245,91
2uhk6Fi514vtRKxKAn93zm,1232,65,6,70
5bZtRlMBU76vHuDOb1GM5u,973,-194,1,2
7Bw9R9NnsubYlVICqwn2Rn,1358,191,0,0
0B8B8cVRFIG1yznoQe7c9s,1225,58,4,35
3fgfYqJexhMwbxwTLrDS5A,1188,21,0,0
6OZh916QF8XNunWaP97WEZ,1561,394,1,8
3JoEaIrTs5Cp8meDkeYzjM,1267,100,56,2
4jY6EZhYUmGb68XtApie9Q,1071,-96,0,0
3rq5w4bQGigXOfdN30ATJt,2628,1461,1,827
3SWIpewrd1V1iw09lim55f,1484,317,7,0
23bIOsqrHRvv5JtN6MTLj6,2041,874,0,0
2yGnStdGP0V45lPXAJpmDb,1303,137,29,441
3eGK0WFi6ISJ9UZA6Za4HX,1303,137,30,497
7vRriwrloYVaoAe3a9wJHe,1449,283,162,132
0OwX5aROoW1Iip8FV51Efg,1393,227,2,35
0gb1J5UrTpzaU1s3nupgCd,1442,276,4,21
6nxQdXa1uAL0rY72wPZu89,1197,31,2,35
6YNCE5qtrTa7YcnAOAEsDQ,7041,5875,625,412
7w87IxuO7BDcJ3YUqCyMTT,3217,2051,363,438
46NBoIAHrmR7qcUGCIFEjR,1400,234,4,21
40YcuQysJ0KlGQTeGUosTC,1561,395,0,0
4xHkRNzzHtj3O3Z1pjYWRC,1407,241,44,188
7aV2mflaASUmGhCErm7kBO,1267,101,2,8
5dKyZWlgjWw1oJgLa4GCZD,1232,66,2,133
0bAtYUcHyGlOj5R3eNjHhA,1274,108,7,46
4dASQiO1Eoo3RJvt74FtXB,1358,192,0,28
4b4KcovePX8Ke2cLIQTLM0,973,-193,2,0
4VrWlk8IQxevMvERoX08iC,2079,913,3,28
0J1TzQOuHyS7KA6Sq33flE,1386,220,9,19
0JiVRyTJcJnmlwCZ854K4p,1197,31,28,15
43F1e4glaVnVe3DXOU3Xum,1183,17,69,14
5oVVAwRQnXJDEHFNeganG0,1225,59,21,32
2XMTqoHHSH0lvuXrvIEdco,1288,122,2,23
4OZEu0Vwq0RB2LAq14v99n,1316,150,0,8
0ADG9OgdVTL7fgREP75BrZ,1092,-74,3,4
6vARbzVXg90V8fYmgks5u3,1624,458,106,78
4vb4mFvYsr2h6enhjJsq9Y,1358,192,43,72
5zNK9ZyCrrJFlGgMMv2Xt7,1225,59,21,28
5edBgVtRD0fvWk140Sl21T,2628,1462,0,3
3CJvmtWw2bJsudbAC5uCQk,1617,451,0,0
7yyRTcZmCiyzzJlNzGC9Ol,1239,73,1,8
08WPvDEsHvTFuB9w8tC2OS,966,-200,2,0
0YHUITU3w6ws1v8ehT264g,1211,46,0,2
4sPmO7WMQUAf45kwMOtONw,1358,193,41,1
6FopJmIHgp2ADIHEDrJixZ,1239,74,2,35
3AsAuGTaDQzavZZThyYlop,1295,130,3,28
5ytWdfs7iGpu42VQyAQyvY,1386,222,0,0
0oiCeOPwm4zhwfyIpAE37y,1064,-100,16,13
7of1slAJIWrXxP8ikAHxje,1043,-121,0,0
1CUVN2kn7mW5FjkqXTR2W1,1379,216,0,37
5hYTyyh2odQKphUbMqc5gN,1232,69,11,62
1yNyoWWWikbLhwIGWjZuDW,1246,83,18,55
43jBqV3j3Xi1g6wO0bhIMd,1246,83,13,7
66hayvUbTotekKU3H4ta1f,1844,681,84,4
1FUViuNSldssMIawrOXF2i,1232,69,22,140
7qiZfU4dY1lWllzX7mPBI3,1106,-56,25,1136
6PCUP3dWmTjcTtXY02oFdT,1106,-56,0,153
257tme6AhneIKAqVF1HTH4,1163,1,50,264
4xlQQ2QYGcQEIdjab5mtsg,1071,-91,0,296
7ynCQo1KpBOyTdTdAnjSLZ,1162,0,0,47
6HUnnBwYZqcED1eQztxMBN,1225,63,21,110
7gUV8gmQNHkPFkTAX4TWa6,1183,21,3,14
68Q9D9KyLkIIy6zCAj3w19,1183,23,35,42
4Km5HrUvYTaSUfiSGPJeQR,1141,-17,28,23
0u8aj0c4IxeVSLTUuuq9V5,1158,2,43,387
72jbDTw1piOOj770jWNeaG,1071,-84,7,231
4YhPcVIxIAJrLhFVPGbJkE,1103,-52,64,463
3LFG5DqNQRK0yL6WNMw99P,1071,-84,106,284
728zbo72kOoYdGR3AhNsyF,1155,0,0,0
1t0EUDKUR1F5911t7eh3Wi,1155,0,25,159
53e5O0USYgSCv4md0CXpMY,1155,0,0,0
4u71kva7sifabkTLgRVbUC,1155,0,1,5
3iDY4SzUHPkC3WTXpfxXJG,1156,1,54,154
4SjkLzyFBVXaxuB6SbJyJN,1103,-51,92,140
2sOKiDj9j11KkEJHGOK0ql,1155,1,2,12
4YV827A7aWVswtyt0eWoWM,1085,-69,171,334
2PS6YQ9jMpm0uCg4sQ1ygm,1221,68,90,302
5w11scFjudri4rCcfd1ik0,1085,-67,0,0
09R3cJ0lfz4R7eeQKl3MmA,1155,3,40,2
1CnPYaKxTVb4LWOtiGOm0m,1372,221,0,55
6IGA5YrFiEr5ANrMqKkR6H,1281,131,9,7
1crSsvtU9wZB15dIQXV2QH,1064,-84,0,1
5mWbOKfRxcS5iv32amTHPe,1050,-98,31,251
6eIygPhGcBFKKcxlGTJlY0,1064,-84,0,0
00FOgV1ZRgn6oBk6mIoGLm,1158,10,2,0
51lPx6ZCSalL2kvSrDUyJc,1064,-84,0,0
3DxMZGUDd6e3I37WM7IaMK,1071,-77,281,40
5Ua3GXyHwiSfpNTMjq6m2z,1211,65,40,76
50PWlIBU7PlGGwzgN8TiFJ,1239,94,14,136
3E2Zh20GDCR9B1EYjfXWyv,1008,-136,29,126
4aWmUDTfIPGksMNLV2rQP2,1155,12,122,261
6bgQIw80xWC3MPZX4kVYGw,1303,160,89,434
4RiawNnc4pew07pvV69ksg,1145,3,79,33
0LtVx5vsq9nfpGsWgjUin6,1211,69,4,28
3ebXMykcMXOcLeJ9xZ17XH,1141,0,26,265
4sFVdIwmVj2y87qqOWwSU3,1141,0,82,312
0fg8CqpjdojMyXLNzM2PaJ,1142,1,14,124
54LGxQGf5LPXNGjtzDZ5IE,1092,-49,0,6
3oUZXcz9WLNO71yHAumFbH,1232,91,0,0
1I8FfCuYjlXxeQlfPxjQbB,1071,-69,64,4
1n8MLpbFR0fuCjNnlyuHxS,1022,-118,331,24
6o0rGxp5tdtX8cmqXwVIwE,1708,569,499,331
6TmmyW0fR8mo3ACj07lGmO,1148,10,70,108
4BQOi5mYZozFR4HnOy5F79,1303,165,1,210
6t4Z6xUX1aYfGl4qTpUiua,1303,165,1,1
3dNodglI565xRmYgDDoysV,1303,166,0,0
4MHixqOTi1FrQiatxuUqke,1225,88,2,5
7ITR0F51DrU1BPox4SBRRz,1303,166,0,0
1sXUWdKx03aP9Gmzft58rt,1155,19,29,94
0CcQNd8CINkwQfe1RDtGV6,994,-140,41,342
1eumDcFTsoLPEN31viUhkt,1155,21,37,321
4hFqC4g2VvVSY8XQNR0HAQ,1134,0,0,8
1KT0xdIjm7t053xByACrrg,1134,0,0,53
4FHw39Ke6pVt5tNKvLr4r3,1134,0,31,141
0qRwhlJssobMKeLC0ZFtyb,1135,1,0,1
3d9JucRI60arArgQXqtfjJ,1134,0,5,22
2Yia0Gh4n61fPAjrNE5i2t,1134,0,0,0
40bK2uosUmAS92c17n98xd,1134,0,31,377
1QV6tiMFM6fSOKOGLMHYYg,4455,3324,0,0
5P5cGNzqh6A353N3ShDK6Y,NA,NA,0,0
0Zx8khUcEfCFK2AEoIhC92,1162,31,16,8
1e315r3zQjsng2z952ePQ1,1129,1,44,358
3wk0wpKHxdPDQvkHkxqNix,1239,111,6,15
5Bc53chGSf3AoJRbB5mzR6,1071,-56,64,278
5ULRlgiSPSKTaJN1vU9yso,1127,0,0,11
6520aj0B4FSKGVuKNsOCOi,1008,-119,0,200
4nDfc6F2uVcc6wdG7kBzWO,1127,0,0,0
4BQMlG5VKApk9AdIsjxDqx,1099,-28,29,148
4kgsK0fftHtg9gZOzkU5T2,2628,1501,0,0
2s2VEFLBcXXox80nSQ91FH,1127,0,0,0
7KlTFTpy7dXLzr2NtLkvG6,1124,-1,0,11
02q0ZnV2L4XByzEvWZJqBC,1124,-1,0,1
0KKkJNfGyhkQ5aFogxQAPU,1212,89,78,322
5NNlUMcOEOdoOIwwaWXv0k,1123,0,50,211
56gpstNB96id9ngmImIkaH,1134,11,58,163
7cnm6MnAwwnf52Jy47WTGN,1680,559,0,0
3eR23VReFzcdmS7TYCrhCe,1121,0,28,224
104buTcnP2AsxqB7U1FIZ4,1029,-92,155,13
3a1lNhkSLSkpJE4MSHpDu9,1190,69,781,28
6PJ8FF6UR8FZXfEvpHkIVN,1106,-14,0,31
43hDboyy6vJ6z2Jx5sHnCF,1050,-70,0,1
4wVFTbgMGuCij1F7568JRw,1120,0,0,34
5bm2GTEiU87Z95jX03y2Qk,1099,-21,22,146
2uZXycmB2DFpJTNl6qmeF4,1071,-49,50,127
4TwxzrAK84IvWCFDaQJcBr,1127,7,9,14
5sdnNP8Dsa8hCUkz3BNuG9,1352,233,8,6
6AaoEX192rJ6o3UFwG43sV,1268,150,83,309
0n2bvWvMwr0gbjcuTm92eW,1119,1,2,30
6RUKPb4LETWmmr3iAEQktW,1071,-43,7,526
6VRghJeP6I0w1KxkdWFfIh,1137,23,70,31
0UhHqALMFG9yLdrFYxLcuB,1011,-103,0,0
75DcKqrUm2hdONrWBrNM4A,1155,41,1,3
7tr2za8SQg2CI8EDgrdtNl,987,-126,6,147
3e7cnQ5KYSSIwUo6tfQqwB,1204,91,352,1
5oZEWnw1r4l5HEtfS1sjYp,1135,22,2,14
2lLOaRPi8yQxQ8BlFZBLOl,1099,-14,41,210
0dA2Mk56wEzDgegdC6R17g,1114,1,83,223
2P9dJt9C0eeqS0JYyWDw7J,1211,98,2,3
4ygUmeFRClcKHLP8jeauK8,1204,91,1,3
7syZTLPzfZN9rYbQBtYmVB,1120,7,50,50
0yeqvoGqOSLgdmH7Qau8bA,1323,211,0,1
0SVlY9SijcJYDXbcUwlbTI,1547,435,0,1
2vyCvveYWqM8M4ifEEBnsR,1288,176,1,1
1R9Gn3Mo3PGOLSMfN5GBPL,1022,-89,27,5
2EEeOnHehOozLq4aS0n6SL,1197,89,1,62
61GiOLLEn0LcavpVu1my6Q,1103,-5,19,303
3FiE2d325mIOc4YjkSLVJR,1393,285,48,12
0gbBzIqrECJOEPvQJIBFs5,1001,-106,1,173
0tgVpDi06FyKpA1z0VMD4v,1106,0,3,829
0afhq8XCExXpqazXczTSve,1106,0,3,347
2RttW7RAu5nOAfq6YFvApB,1106,0,0,87
2dfHh7ECGxfNqZTQno09Vk,1106,0,0,12
4VuS959DSpr82t3qBqCrWG,1106,0,0,13
51ChrwmUPDJvedPQnIU8Ls,1106,0,0,87
7oolFzHipTMg2nL7shhdz2,1106,0,0,12
2pJZ1v8HezrAoZ0Fhzby92,1106,0,0,17
5HDPtsnyb3maFmPL8LLUTG,1106,0,0,18
3Lfiu5sZ4M4B6JaKMBc0FU,1106,0,0,12
6SznMYPQJHzr3IwsAHLId2,1106,0,0,7
35QZaWQRkmnAVqBF1TLCxQ,1106,0,0,11
6TIU9Ehmi6dMzZK73Ym4yj,1106,0,0,7
1Bq86AS6wf5a5cEB8CM6dZ,1099,-7,64,291
5LXj9Ch3O9ATm1NoHT8GXn,1107,1,0,0
2BrzlUj1u1CtvaJDGIKpsP,1214,112,7,1
4eZg3l8x5aMvgwsRHcZuIC,1129,30,15,164
7pYFPMeK0TnaTGdS6qOtEr,1099,0,0,12
0or0gNaKAXYYCsOrpvRzAu,1001,-98,0,103
1UINnw1bpndMtOwxdq7j4B,1099,0,0,7
7KcGEssn7BnJdTgildK5y0,1099,0,0,1
2Vdub5mY4lad7w64bFPUez,1100,1,0,0
2dvyNlZ8jkLq4DMzVVyXQH,1099,1,72,160
6pudfBVwOiZ14jMILd2Gdq,1099,1,2,1
2aksifNn5ph8igDOkPBA02,1506,410,42,64
5kXgLlxHMv3aP7xLxMrjiV,1099,3,49,181
40f52Y5P5PDfAxu2P3iI3c,1103,9,0,0
7nKBxz47S9SD79N086fuhn,1113,20,47,63
6cbZb9mVAc5s8HtwklLoI0,1239,147,82,249
75pYvqSYv5xRux1fFiIFTn,1092,0,0,63
3FQCJI2t5LTbsRPfYVBSVB,1029,-63,126,3
65ACnVMmePTp8Xdk11jP2y,1092,0,0,0
1rIKgCH4H52lrvDcz50hS8,1092,0,0,0
6P8v1a8jyfwG5kc7Si1kUp,1103,12,197,343
1zhfU6YXa2pXUAQdG1NvBZ,1144,53,28,414
5mR5GuercvLXgx4TPnGl9k,1108,17,229,139
7y6c07pgjZvtHI9kuMVqk1,1091,1,1,2
2XlHu0HcujBCkWMdIAvrqt,1091,1,1,2
05KOgYg8PGeJyyWBPi5ja8,1091,1,0,4
7hDc8b7IXETo14hHIHdnhd,1091,1,2,106
6CfrYuD3YRDYdYvH9jNtXY,1091,1,1,1
13e6f8t7RKXuxZ0JdaaJRG,1091,1,1,1
76gUmNLXGQVOsGhfcshkFP,1091,1,1,1
2bjwRfXMk4uRgOD9IBYl9h,1091,1,1,3
6kex4EBAj0WHXDKZMEJaaF,1114,24,71,248
6UjfByV1lDLW0SOVQA4NAi,1091,1,1,2
2fkeWbM6iqTw7oGHTYm2lw,1091,1,1,1
7KBfjlQ85Fqs2MCCvXSW0c,1129,40,68,201
3YSagrvQP9x32rAjEI48PL,1085,-4,4,271
0xl1w2q4VLojeXp4JfazPL,1091,2,0,0
6n3HGiq4v35D6eFOSwqYuo,1091,2,0,0
5E7ZTCsfsWr1Jlr6VK1AHu,1150,62,54,49
5qqabIl2vWzo9ApSC317sa,8929,7843,368,478
4AEVXHznFXkJEtFamkYwlr,1086,0,1,3
1bUazU9SSOh02AdlOPeTvm,1085,0,17,363
000xQL6tZNLJzIrtIgxqSl,1086,1,0,76
3vgNmjuRDnGLxUFGCLkwpm,1086,1,0,12
7ENzvLExxbHyHjHIxKIUIo,1085,0,0,5
3bDScAlZuzhkqENyhguNKN,1085,0,0,0
2bBMODHVTXGwE2aZYfbgCt,1050,-35,0,0
12bl82N9F1zCqqXQOWJFkf,1085,0,0,3
7l9CE3wmEGOUYw1j4ETjnL,1050,-35,0,35
3TWBAMVelnDoBASmQNXate,1085,0,0,0
1zayuwd1YLZsYDArkruHdL,1085,0,0,0
2C0KFbb4v9CNWR5c9jWcKC,1050,-35,0,0
0YK4RDyccDYO5aWQGKMZ2h,1057,-27,162,188
1x5sYLZiu9r5E43kMlt9f8,1093,10,53,260
25khomWgBVamSdKw7hzm3l,1659,577,0,9
4F7A0DXBrmUAkp32uenhZt,1204,122,0,1
6RsWqX8zABZLhZydXxEFOm,1659,577,0,0
24vKziOpfXphE3oNAzPTk7,1386,304,0,1
3rOSwuTsUlJp0Pu0MkN8r8,952,-129,51,48
09mhA1SJjMHniZPF4Hcihn,1582,502,5,2
7KXjTSCq5nL1LoYtL7XAwS,1064,-14,18,296
60APt5N2NRaKWf5xzJdzyC,987,-91,0,19
1louJpMmzEicAn7lzDalPW,1078,0,55,158
0wfbD5rAksdXUzRvMfM3x5,1071,-7,7,21
2WBS0T5W2y7o3P21YRGq87,1086,8,2,0
2KQ1v4WfHoqdSZ6NDiO1hi,1179,102,8,7
75JFxkI2RXiU7L9VXzMkle,6427,5352,220,350
152lZdxL1OR0ZMW6KquMif,1051,-24,53,0
3XmlyO6IhBbhvWszwk0ZDW,1218,143,0,0
00lNx0OcTJrS3MKHcB80HY,1190,116,20,0
0Nhu3zSYbEz32IYiobV75e,1015,-58,2,96
6mORGLOz79w6VsCRLWYYuK,1803,732,10,42
5Ohxk2dO5COHF1krpoPigN,1036,-35,0,150
75r8bI2MTVDwgIKJplD5LS,1071,0,0,84
1pJQAHpD51J7GYaFrrFO9S,1071,0,0,2
4qknM1pQz53QOyfDVTjcM9,1022,-49,0,49
6cPyTS0Kk2sc4xQwC93kOg,1071,0,0,2
26AuyrZGzWWiYZPSd3XBIg,1071,0,0,0
